City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,johvi,59.3592,27.4211,5.51,45,38,3.69,EE,1715081444
1,tiksi,71.6872,128.8694,0.11,99,100,8.12,RU,1715081445
2,papatowai,-46.5619,169.4708,9.61,79,64,4.34,NZ,1715081445
3,urcos,-13.6861,-71.6228,8.94,85,55,0.79,PE,1715081445
4,nova sintra,14.8667,-24.7167,24.46,70,0,2.38,CV,1715081445
5,college,64.8569,-147.8028,0.44,91,75,3.09,US,1715081445
6,bethel,41.3712,-73.414,16.12,72,0,2.06,US,1715081307
7,carnarvon,-24.8667,113.6333,22.56,60,0,8.42,AU,1715081445
8,darovskoy,58.77,47.9564,6.41,38,100,2.99,RU,1715081445
9,mandalgovi,45.7625,106.2708,22.03,15,4,4.65,MN,1715081445
10,port-aux-francais,-49.35,70.2167,4.93,78,39,14.05,TF,1715081446
11,jamestown,42.097,-79.2353,10.01,72,20,0.0,US,1715081200
12,ribeira brava,32.65,-17.0667,25.4,68,66,5.46,PT,1715081446
13,nsanje,-16.92,35.262,34.3,33,0,2.6,MW,1715081385
14,vorgashor,67.5833,63.95,-6.22,80,79,3.84,RU,1715081446
15,harstad,68.799,16.5293,5.66,63,28,7.6,NO,1715081446
16,santa maria del oro,25.9333,-105.3667,15.55,16,100,1.81,MX,1715081446
17,waitangi,-43.9535,-176.5597,9.65,54,17,3.43,NZ,1715081447
18,cidreira,-30.1811,-50.2056,23.1,75,15,1.45,BR,1715081436
19,plettenberg bay,-34.0527,23.3716,20.2,72,48,2.51,ZA,1715081447
20,badger,64.8,-147.5333,0.39,94,75,3.09,US,1715081447
21,edinburgh of the seven seas,-37.0676,-12.3116,15.02,79,79,13.27,SH,1715081447
22,lagoa,39.05,-27.9833,17.06,88,15,7.58,PT,1715081447
23,pisco,-13.7,-76.2167,18.03,94,100,1.03,PE,1715081447
24,bredasdorp,-34.5322,20.0403,22.41,56,57,3.7,ZA,1715081447
25,iskateley,67.6803,53.1512,-6.1,83,100,7.6,RU,1715081447
26,bandon,51.7469,-8.7425,13.77,72,94,2.82,IE,1715081447
27,puerto natales,-51.7236,-72.4875,-1.53,77,100,0.79,CL,1715081448
28,le vauclin,14.5452,-60.8388,28.03,78,0,1.03,MQ,1715081448
29,bilibino,68.0546,166.4372,-6.95,96,44,0.42,RU,1715081448
30,hermanus,-34.4187,19.2345,19.89,81,56,8.18,ZA,1715081448
31,mhamid,29.82,-5.72,33.86,9,55,4.81,MA,1715081448
32,miracema do tocantins,-9.5618,-48.3967,27.98,64,34,3.28,BR,1715081448
33,adamstown,-25.066,-130.1015,21.62,79,72,6.48,PN,1715081448
34,eldorado at santa fe,35.5264,-105.9347,6.82,38,0,4.92,US,1715081448
35,happy valley-goose bay,53.3168,-60.3315,6.17,81,75,2.06,CA,1715081449
36,udachny,66.4167,112.4,-0.31,98,89,8.83,RU,1715081449
37,cabo san lucas,22.8909,-109.9124,24.17,56,100,1.34,MX,1715081449
38,puerto leguizamo,-0.1934,-74.7819,23.4,99,98,0.74,CO,1715081449
39,taoudenni,22.6783,-3.9836,39.8,4,5,1.08,ML,1715081449
40,fortuna,40.5982,-124.1573,7.03,96,20,0.0,US,1715081449
41,kidal,18.4411,1.4078,40.5,6,100,4.81,ML,1715081449
